req_id,domain,requirement,source,spec,wp,dod_test,status
REQ-001,LAWS,Every physical state change captured at the event with evidence; no re-keying anywhere,Doc00 L1,01§4;02§1,WP-02/05,No workflow contains a manual re-entry of ledger data (audit),F0-SPEC'D
REQ-002,LAWS,One append-only hash-chained ledger; all parties read lenses of it,Doc00 L2,02§1-2,WP-02,Chain verify 10K events; lens scoping tests,F0-SPEC'D
REQ-003,LAWS,Money lines exist only as projections of events,Doc00 L3,02§4,WP-06,Invoice cannot be created without POD event (negative test),F0-SPEC'D
REQ-004,LAWS,Pricing from measured physics; class only as edge adapter,Doc00 L4,01§2 Rater,WP-04,No SMC3 dependency in engine; class adapter isolated,F0-SPEC'D
REQ-005,LAWS,Agents propose; humans approve exceptions; all agent acts are events,Doc00 L5,01§2,WP-02..13,agent.acted events carry basis links 100%,F0-SPEC'D
REQ-006,LAWS,Zero training: 10-min CSR test + zero-instruction driver test,Doc00 L6,05§5,WP-05/10,Both acceptance tests pass on video with real users,F0-SPEC'D
REQ-007,LAWS,Every transition gated on required evidence; overrides named+logged,Doc00 L7,01§4,WP-05,Gate bypass impossible in UI and API (adversarial test),F0-SPEC'D
REQ-008,LAWS,Overlay before authority; per-module flags with auto-fallback,Doc00 L8,02§5,WP-15,Forced-drift test triggers fallback,F0-SPEC'D
REQ-009,LAWS,Network primitives (Passport/settle/mesh) designed-in from v1 schema,Doc00 L9,02§7,WP-02,Passport fields exist and accrue from events,F0-SPEC'D
REQ-010,LAWS,One-click full tenant export in open formats,Doc00 L10,08 GA-19,WP-11,Export job produces complete verifiable archive,F0-SPEC'D
REQ-011,LEDGER,Event schema {seq;ts;actor;kind;payload;evidence[];prev_hash;sig},Doc02§1,10§1,WP-02,Round-trip all 35 kinds,F0-SPEC'D
REQ-012,LEDGER,Corrections are reversal events; edits impossible,Doc02§1,10§1,WP-02,Correction nets to zero in GL fixture,F0-SPEC'D
REQ-013,LEDGER,Custody transitions co-signed (device key + counterparty ack),Doc02§1,10§1,WP-05,Co-sign present on 100% custody events in pilot,F0-SPEC'D
REQ-014,LEDGER,Daily Merkle roots externally timestamped (RFC3161),Doc02§1,10§1,WP-02,Verify a POD hash against TSA receipt,F0-SPEC'D
REQ-015,LEDGER,Role-scoped lenses; counterparty visibility flag per event kind,Doc02§2,10§1,WP-02,Adversarial cross-lens read fails,F0-SPEC'D
REQ-016,LEDGER,Offline capture signed per-device; merge by (device;seq); no overwrite,Doc02§3,10§1,WP-05,Airplane soak: 50 events 2 devices zero loss/dupes,F0-SPEC'D
REQ-017,LEDGER,Evidence bytes hashed at capture; upload deferred OK,Doc02§3,10§2,WP-05,Hash in event matches later-uploaded bytes,F0-SPEC'D
REQ-018,LEDGER,GPS stamps carry accuracy radius; detention math discloses error,Doc02§3,07§02,WP-05,Detention calc shows ± bounds,F0-SPEC'D
REQ-019,LEDGER,Interline/cartage splits computed from custody legs,Doc02§4,10§1,WP-11,Split fixture matches partner statement,F0-SPEC'D
REQ-020,LEDGER,GL journal export (QuickBooks/Xero); native GL forbidden,Doc02§4,11 do-nots,WP-11,QB sandbox month reconciles to penny,F0-SPEC'D
REQ-021,LEDGER,Legacy ingest adapters tag source+confidence; evidenced events outrank,Doc02§5,10§1,WP-15,Legacy vs evidenced conflict resolves correctly,F0-SPEC'D
